 1.00000000e+01  1.00000000e+01  0.00000000e+00  1.00000000e+01 -4.38896450e-04  1.00000000e+01 -1.00527578e-02 
 1.02329299e+01  1.02329299e+01  0.00000000e+00  1.02329299e+01 -4.59579908e-04  1.02329299e+01 -1.02869003e-02 
 1.04712855e+01  1.04712855e+01  0.00000000e+00  1.04712855e+01 -4.81238042e-04  1.04712855e+01 -1.05264955e-02 
 1.07151931e+01  1.07151931e+01  0.00000000e+00  1.07151931e+01 -5.03916777e-04  1.07151931e+01 -1.07716703e-02 
 1.09647820e+01  1.09647820e+01  0.00000000e+00  1.09647820e+01 -5.27664200e-04  1.09647820e+01 -1.10225547e-02 
 1.12201845e+01  1.12201845e+01  0.00000000e+00  1.12201845e+01 -5.52530666e-04  1.12201845e+01 -1.12792814e-02 
 1.14815362e+01  1.14815362e+01  0.00000000e+00  1.14815362e+01 -5.78568899e-04  1.14815362e+01 -1.15419866e-02 
 1.17489755e+01  1.17489755e+01  0.00000000e+00  1.17489755e+01 -6.05834110e-04  1.17489755e+01 -1.18108093e-02 
 1.20226443e+01  1.20226443e+01  0.00000000e+00  1.20226443e+01 -6.34384106e-04  1.20226443e+01 -1.20858919e-02 
 1.23026877e+01  1.23026877e+01  0.00000000e+00  1.23026877e+01 -6.64279422e-04  1.23026877e+01 -1.23673801e-02 
 1.25892541e+01  1.25892541e+01  0.00000000e+00  1.25892541e+01 -6.95583439e-04  1.25892541e+01 -1.26554230e-02 
 1.28824955e+01  1.28824955e+01  0.00000000e+00  1.28824955e+01 -7.28362528e-04  1.28824955e+01 -1.29501731e-02 
 1.31825674e+01  1.31825674e+01  0.00000000e+00  1.31825674e+01 -7.62686183e-04  1.31825674e+01 -1.32517864e-02 
 1.34896288e+01  1.34896288e+01  0.00000000e+00  1.34896288e+01 -7.98627170e-04  1.34896288e+01 -1.35604228e-02 
 1.38038426e+01  1.38038426e+01  0.00000000e+00  1.38038426e+01 -8.36261686e-04  1.38038426e+01 -1.38762455e-02 
 1.41253754e+01  1.41253754e+01  0.00000000e+00  1.41253754e+01 -8.75669512e-04  1.41253754e+01 -1.41994218e-02 
 1.44543977e+01  1.44543977e+01  0.00000000e+00  1.44543977e+01 -9.16934188e-04  1.44543977e+01 -1.45301228e-02 
 1.47910839e+01  1.47910839e+01  0.00000000e+00  1.47910839e+01 -9.60143189e-04  1.47910839e+01 -1.48685236e-02 
 1.51356125e+01  1.51356125e+01  0.00000000e+00  1.51356125e+01 -1.00538811e-03  1.51356125e+01 -1.52148031e-02 
 1.54881662e+01  1.54881662e+01  0.00000000e+00  1.54881662e+01 -1.05276484e-03  1.54881662e+01 -1.55691448e-02 
