
Note: No compatibility mode selected!


Circuit: Triangle Wave Generator

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vcc                                         15
vee                                        -15
n1                                         0.1
n2                                         0.1
out1                              -5.55112e-13
n3                                -5.55112e-08
out2                                         0
e.xu2.e1#branch                   3.13157e+232
e.xu1.e1#branch                   3.12926e+227
vee#branch                        1.45913e+238
vcc#branch                       -1.45913e+238


No. of Data Rows : 5015

Warning: command 'plot' is not available during batch simulation, ignored!
    You may use Gnuplot instead.

                            Triangle Wave Generator
                            Transient Analysis  Wed May 20 18:57:00  2026
--------------------------------------------------------------------------------
Index   time            v(out1)         v(out2)         v(n2)           
--------------------------------------------------------------------------------
0	0.000000e+00	-5.55112e-13	0.000000e+00	1.000000e-01	
1	1.000000e-07	8.082424e-13	1.363218e-07	9.998000e-02	
2	2.000000e-07	-1.62981e-13	3.919553e-08	9.996001e-02	
3	4.000000e-07	-7.98916e-13	-2.43995e-08	9.992004e-02	
4	8.000000e-07	6.292744e-13	1.184008e-07	9.984013e-02	
5	1.600000e-06	1.412204e-13	6.952019e-08	9.968052e-02	
6	3.200000e-06	-6.28386e-13	-7.49010e-09	9.936205e-02	
7	6.400000e-06	-9.94760e-14	4.534037e-08	9.872816e-02	
8	1.280000e-05	6.665779e-13	1.214121e-07	9.747247e-02	
9	2.280000e-05	-3.81473e-13	1.592043e-08	9.554233e-02	
10	3.280000e-05	-8.83738e-13	-3.42146e-08	9.365040e-02	
11	4.280000e-05	8.797407e-13	1.415963e-07	9.179594e-02	
12	5.280000e-05	4.982681e-13	1.022299e-07	8.997819e-02	
13	6.280000e-05	-8.65974e-14	4.301715e-08	8.819645e-02	
14	7.280000e-05	-3.20188e-13	1.934624e-08	8.644998e-02	
15	8.280000e-05	3.028688e-13	8.114948e-08	8.473810e-02	
16	9.280000e-05	-2.68230e-13	2.351628e-08	8.306012e-02	
17	1.028000e-04	2.211564e-13	7.197744e-08	8.141537e-02	
18	1.128000e-04	-1.15907e-13	3.772257e-08	7.980318e-02	
19	1.228000e-04	-3.19744e-14	4.569875e-08	7.822292e-02	
20	1.328000e-04	-9.76996e-15	4.745343e-08	7.667395e-02	
21	1.428000e-04	1.101341e-13	5.891202e-08	7.515565e-02	
22	1.528000e-04	2.380318e-13	7.105197e-08	7.366742e-02	
23	1.628000e-04	-2.92655e-13	1.754034e-08	7.220866e-02	
24	1.728000e-04	2.642331e-13	7.277754e-08	7.077879e-02	
25	1.828000e-04	-2.27818e-13	2.309310e-08	6.937723e-02	
26	1.928000e-04	2.300382e-13	6.842113e-08	6.800342e-02	
27	2.028000e-04	-1.86517e-14	4.299505e-08	6.665682e-02	
28	2.128000e-04	-8.03801e-14	3.642511e-08	6.533688e-02	
29	2.228000e-04	-4.07230e-13	3.540319e-09	6.404308e-02	
30	2.328000e-04	1.803002e-13	6.196579e-08	6.277490e-02	
31	2.428000e-04	1.154632e-14	4.455778e-08	6.153184e-02	
32	2.528000e-04	3.081979e-13	7.363199e-08	6.031338e-02	
33	2.628000e-04	1.665335e-13	5.880337e-08	5.911906e-02	
34	2.728000e-04	1.241229e-13	5.399831e-08	5.794838e-02	
35	2.828000e-04	-1.35003e-13	2.767733e-08	5.680089e-02	
36	2.928000e-04	1.405542e-13	5.482057e-08	5.567612e-02	
37	3.028000e-04	7.704948e-14	4.795621e-08	5.457362e-02	
38	3.128000e-04	2.753353e-13	6.720897e-08	5.349296e-02	
39	3.228000e-04	4.509726e-13	8.401657e-08	5.243369e-02	
40	3.328000e-04	-3.72147e-13	1.278162e-09	5.139540e-02	
41	3.428000e-04	-1.20570e-13	2.629794e-08	5.037767e-02	
42	3.528000e-04	3.392842e-13	7.179292e-08	4.938009e-02	
43	3.628000e-04	1.709743e-14	3.902018e-08	4.840227e-02	
44	3.728000e-04	2.766676e-13	6.445980e-08	4.744381e-02	
45	3.828000e-04	4.019007e-13	7.627942e-08	4.650433e-02	
46	3.928000e-04	-8.19345e-14	2.737761e-08	4.558345e-02	
47	4.028000e-04	3.521627e-13	7.029895e-08	4.468081e-02	
48	4.128000e-04	-3.21743e-13	2.544195e-09	4.379604e-02	
49	4.228000e-04	-2.59792e-13	8.683103e-09	4.292879e-02	
50	4.328000e-04	3.659295e-13	7.085757e-08	4.207871e-02	
51	4.428000e-04	-1.00364e-13	2.375514e-08	4.124547e-02	
52	4.528000e-04	6.838974e-14	4.031020e-08	4.042873e-02	
53	4.628000e-04	2.176037e-14	3.526937e-08	3.962816e-02	
54	4.728000e-04	-1.24789e-13	2.033639e-08	3.884345e-02	

Index   time            v(out1)         v(out2)         v(n2)           
--------------------------------------------------------------------------------
55	4.828000e-04	4.107825e-14	3.663825e-08	3.807427e-02	
56	4.928000e-04	-1.61204e-13	1.614607e-08	3.732032e-02	
57	5.028000e-04	1.112443e-13	4.309474e-08	3.658131e-02	
58	5.128000e-04	1.454392e-13	4.606841e-08	3.585692e-02	
59	5.228000e-04	9.525714e-14	4.061677e-08	3.514689e-02	
60	5.328000e-04	-5.66214e-14	2.510034e-08	3.445091e-02	
61	5.428000e-04	-3.55271e-15	3.013105e-08	3.376871e-02	
62	5.528000e-04	1.625367e-13	4.635754e-08	3.310002e-02	
63	5.628000e-04	-2.03837e-13	9.441187e-09	3.244458e-02	
